Date,Open,High,Low,Close,Adj Close,Volume,ticker_symbol,security,sector
2018-03-27,310.8800048828125,313.92999267578125,303.3299865722656,305.1400146484375,264.9541931152344,449900,TDG,TransDigm Group,Industrials
2018-03-28,305.6199951171875,306.2099914550781,298.1499938964844,300.7900085449219,261.1770935058594,498300,TDG,TransDigm Group,Industrials
2018-03-29,303.5799865722656,307.8999938964844,303.2300109863281,306.94000244140625,266.5171813964844,608000,TDG,TransDigm Group,Industrials
2018-04-02,305.4100036621094,307.5,298.3599853515625,301.07000732421875,261.42022705078125,381400,TDG,TransDigm Group,Industrials
2018-04-03,302.95001220703125,305.7300109863281,299.9700012207031,305.4700012207031,265.2407531738281,343200,TDG,TransDigm Group,Industrials
2018-04-04,300.82000732421875,308.57000732421875,298.5799865722656,308.1099853515625,267.5330505371094,498200,TDG,TransDigm Group,Industrials
2018-04-05,308.989990234375,312.9599914550781,307.44000244140625,310.94000244140625,269.9903564453125,518300,TDG,TransDigm Group,Industrials
2018-04-06,309.5400085449219,311.57000732421875,305.1700134277344,306.3599853515625,266.0135192871094,463200,TDG,TransDigm Group,Industrials
2018-04-09,308.2099914550781,309.7300109863281,302.9800109863281,303.20001220703125,263.2696838378906,414300,TDG,TransDigm Group,Industrials
2018-04-10,308.1199951171875,308.54998779296875,304.25,306.239990234375,265.9093322753906,356000,TDG,TransDigm Group,Industrials
2018-04-11,305.1000061035156,310.3399963378906,304.44000244140625,306.739990234375,266.3434753417969,218300,TDG,TransDigm Group,Industrials
2018-04-12,307.3999938964844,310.8900146484375,307.0400085449219,308.19000244140625,267.6025390625,386400,TDG,TransDigm Group,Industrials
2018-04-13,309.6199951171875,311.70001220703125,306.5299987792969,309.2200012207031,268.49688720703125,378400,TDG,TransDigm Group,Industrials
2018-04-16,313.0299987792969,321.3299865722656,312.6300048828125,320.25,278.07427978515625,548200,TDG,TransDigm Group,Industrials
2018-04-17,321.2900085449219,325.04998779296875,319.30999755859375,323.6300048828125,281.0091552734375,402100,TDG,TransDigm Group,Industrials
2018-04-18,325.1300048828125,328.7900085449219,323.6700134277344,326.3699951171875,283.3882751464844,231400,TDG,TransDigm Group,Industrials
2018-04-19,327.0,330.1499938964844,326.07000732421875,329.05999755859375,285.7240295410156,354800,TDG,TransDigm Group,Industrials
2018-04-20,330.2799987792969,331.19000244140625,326.9200134277344,327.70001220703125,284.5431213378906,298600,TDG,TransDigm Group,Industrials
2018-04-23,327.44000244140625,330.510009765625,327.0,328.1300048828125,284.91650390625,357100,TDG,TransDigm Group,Industrials
2018-04-24,329.8999938964844,333.6199951171875,321.0799865722656,326.5799865722656,283.5705871582031,471100,TDG,TransDigm Group,Industrials
2018-04-25,326.1199951171875,326.6499938964844,317.5199890136719,324.3800048828125,281.6603698730469,478100,TDG,TransDigm Group,Industrials
2018-04-26,325.1700134277344,328.510009765625,322.489990234375,324.94000244140625,282.1466064453125,334600,TDG,TransDigm Group,Industrials
2018-04-27,324.05999755859375,326.5,318.6700134277344,320.32000732421875,278.13507080078125,363800,TDG,TransDigm Group,Industrials
2018-04-30,322.1499938964844,326.25,320.05999755859375,320.57000732421875,278.35211181640625,710100,TDG,TransDigm Group,Industrials
